                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.98141,                0.63054,                 1.0292,                0.87984,                0.62868,                0.74897,                0.54752,                0.94155,                0.62049,                  1.058,              0.0017624,              0.0017624,              0.0017624
                     63,                0.97085,                0.62672,                  1.032,                 0.9039,                0.60246,                0.73809,                0.53829,                0.93972,                0.64137,                  1.067,              0.0017584,              0.0017584,              0.0017584
                     64,                0.97379,                0.61586,                 1.0267,                0.86551,                0.60303,                0.73036,                0.52228,                0.98407,                0.67431,                 1.0749,              0.0017545,              0.0017545,              0.0017545
                     65,                0.96766,                0.61324,                 1.0214,                0.88473,                0.62825,                0.73521,                0.53881,                0.94434,                0.62925,                 1.0703,              0.0017505,              0.0017505,              0.0017505
                     66,                0.97412,                0.61488,                 1.0268,                0.88411,                0.59645,                0.72388,                0.51644,                 1.0159,                0.66977,                 1.1125,              0.0017466,              0.0017466,              0.0017466
                     67,                0.97002,                0.61154,                 1.0248,                0.89284,                0.61523,                0.73998,                0.54748,                0.92906,                0.64645,                 1.0509,              0.0017426,              0.0017426,              0.0017426
                     68,                0.98286,                0.61385,                 1.0239,                0.84263,                 0.6079,                0.71961,                0.51546,                 1.0127,                0.67626,                 1.1229,              0.0017386,              0.0017386,              0.0017386
                     69,                 0.9744,                0.61805,                 1.0265,                0.89984,                0.61248,                0.72933,                0.53642,                0.95203,                0.66817,                 1.0677,              0.0017347,              0.0017347,              0.0017347
                     70,                0.96991,                 0.6089,                 1.0236,                0.89329,                0.62078,                0.74626,                0.54713,                0.95302,                 0.6516,                 1.0615,              0.0017307,              0.0017307,              0.0017307
                     71,                0.96929,                   0.61,                 1.0206,                0.87822,                0.60218,                 0.7212,                0.52857,                0.95846,                0.66399,                 1.0713,              0.0017268,              0.0017268,              0.0017268
